,location,bedrooms,bathrooms,price,Bed/Bath
1784,"Westlands, Nairobi",2,2,100000,1.0
1785,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1786,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1787,"Kileleshwa, Nairobi",3,4,70000,0.75
1788,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1789,"Kileleshwa, Nairobi",1,1,110000,1.0
1790,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1791,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1793,"Muthaiga, Nairobi",4,5,300000,0.8
1794,"Nyali, Mombasa",1,1,5000,1.0
1795,"Westlands, Nairobi",4,2,165000,2.0
1796,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1797,"Shanzu, Mombasa",1,1,55000,1.0
1798,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1800,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1801,"Kilimani, Nairobi",3,3,75000,1.0
1803,"Kileleshwa, Nairobi",1,1,110000,1.0
1804,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1805,"Westlands, Nairobi",2,2,100000,1.0
1806,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1807,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1808,"Kileleshwa, Nairobi",3,4,70000,0.75
1809,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1810,"Kileleshwa, Nairobi",1,1,110000,1.0
1811,"Nyali, Mombasa",1,1,5000,1.0
1812,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1813,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1815,"Muthaiga, Nairobi",4,5,300000,0.8
1816,"Nyali, Mombasa",1,1,5000,1.0
1817,"Westlands, Nairobi",4,2,165000,2.0
1818,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1819,"Shanzu, Mombasa",1,1,55000,1.0
1820,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1822,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1823,"Kilimani, Nairobi",3,3,75000,1.0
1825,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1826,"Westlands, Nairobi",2,2,100000,1.0
1827,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1828,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1829,"Kileleshwa, Nairobi",3,4,70000,0.75
1830,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1831,"Kileleshwa, Nairobi",1,1,110000,1.0
1832,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1833,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1835,"Muthaiga, Nairobi",4,5,300000,0.8
1836,"Nyali, Mombasa",1,1,5000,1.0
1837,"Westlands, Nairobi",4,2,165000,2.0
1838,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1839,"Shanzu, Mombasa",1,1,55000,1.0
1840,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1842,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1843,"Kilimani, Nairobi",3,3,75000,1.0
1845,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1846,"Muthaiga, Nairobi",4,5,300000,0.8
1847,"Westlands, Nairobi",2,2,100000,1.0
1848,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1849,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1850,"Kileleshwa, Nairobi",3,4,70000,0.75
1851,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1852,"Kileleshwa, Nairobi",1,1,110000,1.0
1853,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1854,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1856,"Muthaiga, Nairobi",4,5,300000,0.8
1857,"Nyali, Mombasa",1,1,5000,1.0
1858,"Westlands, Nairobi",4,2,165000,2.0
1859,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1860,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1861,"Shanzu, Mombasa",1,1,55000,1.0
1862,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1864,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1865,"Kilimani, Nairobi",3,3,75000,1.0
1867,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1868,"Westlands, Nairobi",2,2,100000,1.0
1869,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1870,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1871,"Kileleshwa, Nairobi",3,4,70000,0.75
1872,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1873,"Kileleshwa, Nairobi",1,1,110000,1.0
1874,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1875,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1877,"Muthaiga, Nairobi",4,5,300000,0.8
1878,"Nyali, Mombasa",1,1,5000,1.0
1879,"Westlands, Nairobi",4,2,165000,2.0
1880,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1881,"Shanzu, Mombasa",1,1,55000,1.0
1882,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1884,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1885,"Kilimani, Nairobi",3,3,75000,1.0
